3DHALL1:1
3DHALL2:1
C1:1
C10:1
C11:1
C12:1
C13:1
C14:1
C2:1
C3:1
C4:1
C5:1
C6:1
C7:1
C8:1
C9:1
HALL1:1
HALL2:1
J1:1
J2:1
J3:1
LDO1.9:1
OPTICALSENSOR1:1
R1:1
REF**:4
RL1:1
RL2:1
RL3:1
RL4:1
RL5:1
SW1:1
SWITCH1:1
U2:1
